"CUSTOMER_SK","products_bought","uniq_products_bought","total_spending","visit_no","average_spending"
"1","1626564","28230","4804677.63122","369037","13.02"
"37143973","2006","540","6194.90862","68","91.10"
"60434066","1846","548","6068.58859","79","76.82"
"64947261","1685","286","5760.74962","205","28.10"
"64593270","1560","761","5619.10920","138","40.72"
"28313518","1316","400","5123.06845","29","176.66"
"61056436","1416","407","5045.31831","25","201.81"
"59564026","1236","527","4734.23892","37","127.95"
"59427755","1209","318","4640.33894","23","201.75"
"40180526","1487","435","4587.13994","80","57.34"
"61044591","1223","443","4347.76920","51","85.25"
"28210412","1180","445","4328.36926","34","127.30"
"21159049","1074","568","4262.59923","51","83.58"
"59564457","1081","346","4243.68890","104","40.80"
"22283241","996","481","4157.08901","31","134.10"
"59428177","1057","565","4140.61963","44","94.10"
"52236223","1157","575","4135.97949","140","29.54"
"21155117","1154","399","4128.70953","53","77.90"
"21703010","1113","456","4063.00906","50","81.26"
"59427796","1207","401","3982.31922","44","90.51"
"37161495","1060","433","3978.33921","30","132.61"
"22114258","1210","371","3963.84938","27","146.81"
"58907751","1060","429","3952.59934","117","33.78"
"21472963","1060","466","3943.09947","103","38.28"
"61765847","1154","444","3934.33918","41","95.96"
"59089143","1025","390","3931.16918","56","70.20"
"61154597","947","346","3884.45929","53","73.29"
"59578232","1063","112","3858.06920","88","43.84"
"59490408","1095","502","3847.97941","171","22.50"
"37350043","1165","406","3791.11952","49","77.37"
"21476267","996","452","3770.43960","24","157.10"
"59076986","846","357","3762.40918","51","73.77"
"22286370","1017","316","3736.01901","33","113.21"
"58642266","1038","353","3697.38954","52","71.10"
"21352906","1095","399","3674.69917","64","57.42"
"60540209","944","510","3668.36946","34","107.89"
"22114197","985","243","3628.34884","20","181.42"
"20848665","842","440","3614.82917","28","129.10"
"59564034","903","383","3612.24952","50","72.24"
"22283800","928","269","3580.07921","104","34.42"
"21703021","1200","426","3579.65984","101","35.44"
"34343937","941","402","3578.17923","35","102.23"
"58262625","981","506","3573.04955","36","99.25"
"37153512","873","352","3560.94933","13","273.92"
"58883863","940","328","3546.88930","42","84.45"
"60899623","974","278","3535.82971","52","68.00"
"21592137","1060","204","3514.80930","124","28.35"
"60676826","873","385","3502.55950","29","120.78"
"22283251","912","370","3502.00963","50","70.04"
"36338607","974","428","3491.17958","139","25.12"
"58392864","810","410","3485.77919","31","112.44"
"20739146","848","375","3480.26925","34","102.36"
"21444732","890","310","3427.39945","40","85.68"
"62301350","856","317","3405.62907","22","154.80"
"61045226","853","426","3393.20952","22","154.24"
"58452703","972","367","3383.81953","32","105.74"
"59564442","877","292","3365.87950","57","59.05"
"59793790","810","117","3365.59892","47","71.61"
"20693643","976","527","3291.67957","39","84.40"
"58240099","877","372","3287.16933","38","86.50"
"20943825","910","259","3232.97987","49","65.98"
"58338429","831","405","3232.75935","29","111.47"
"59566489","830","280","3220.44926","27","119.28"
"58870832","793","323","3212.98933","18","178.50"
"25336169","735","294","3206.13924","22","145.73"
"59913622","912","363","3205.26965","34","94.27"
"22283257","812","354","3182.57934","45","70.72"
"58983956","903","438","3178.72957","48","66.22"
"59057988","880","442","3177.80953","31","102.51"
"21688234","696","349","3165.03943","36","87.92"
"23722085","915","332","3162.57947","26","121.64"
"58239439","880","387","3162.10927","70","45.17"
"59691053","864","447","3154.81944","87","36.26"
"21123217","754","351","3132.05921","38","82.42"
"58645662","774","437","3129.26949","40","78.23"
"58613964","740","369","3121.46915","38","82.14"
"36769106","787","414","3119.38948","27","115.53"
"39937223","822","254","3117.65943","21","148.46"
"22206723","827","397","3107.53948","47","66.12"
"38983543","866","463","3104.50965","105","29.57"
"59039674","969","380","3101.12950","71","43.68"
"21701323","773","304","3096.66899","39","79.40"
"37107316","1148","321","3096.21954","63","49.15"
"58645609","762","379","3087.04943","20","154.35"
"59564039","786","328","3082.34933","47","65.58"
"22301160","846","113","3078.68948","62","49.66"
"54013758","871","228","3044.25981","77","39.54"
"60664447","769","249","3037.92891","18","168.77"
"21584436","921","248","3037.67976","290","10.47"
"59504665","844","231","3021.13967","81","37.30"
"37353924","851","399","3012.20962","37","81.41"
"22286348","838","345","2999.48983","66","45.45"
"41538512","1018","299","2990.94934","47","63.64"
"39317622","818","405","2985.41980","59","50.60"
"36164600","803","277","2984.84953","32","93.28"
"21561441","808","383","2977.52962","43","69.24"
"22287906","645","301","2969.08912","37","80.25"
"59502886","801","398","2967.23958","46","64.51"
"58910480","769","362","2961.12929","40","74.03"
"58299728","738","339","2951.37947","29","101.77"
"59794466","782","445","2939.28965","108","27.22"
"38988153","694","317","2921.99965","56","52.18"
"60416645","1313","340","2920.79927","129","22.64"
"59607596","933","297","2918.01960","25","116.72"
"60084673","770","325","2910.12971","40","72.75"
"58657920","944","288","2908.04974","71","40.96"
"59910413","677","240","2905.04927","56","51.88"
"58266455","734","368","2873.95947","51","56.35"
"59427733","1340","141","2846.25802","82","34.71"
"39741082","899","471","2836.22993","35","81.04"
"58831091","705","321","2826.33951","31","91.17"
"22283777","742","271","2826.04942","38","74.37"
"22448137","828","399","2825.67955","65","43.47"
"58808222","859","332","2822.72950","59","47.84"
"59566474","844","340","2812.77986","75","37.50"
"59752418","899","368","2795.93989","94","29.74"
"59920039","730","140","2791.36955","79","35.33"
"21173320","794","276","2785.36975","56","49.74"
"59577999","792","405","2775.90983","97","28.62"
"59579364","1021","323","2763.80967","93","29.72"
"23635344","686","301","2757.66970","36","76.60"
"58283072","829","304","2734.32965","42","65.10"
"22114167","1360","136","2726.82820","80","34.09"
"21621964","657","240","2720.54928","56","48.58"
"51835173","761","313","2719.77969","29","93.79"
"62349068","716","416","2716.34969","26","104.47"
"59564876","770","473","2715.68967","37","73.40"
"59106914","657","412","2713.51942","21","129.22"
"58872822","816","370","2708.40963","49","55.27"
"21432192","695","306","2700.90946","33","81.85"
"22302616","946","315","2695.19967","75","35.94"
"59459473","714","155","2685.96985","19","141.37"
"35109326","815","419","2682.21980","69","38.87"
"39314414","710","150","2681.13978","18","148.95"
"22208972","774","263","2680.98984","75","35.75"
"22642065","782","293","2677.73959","21","127.51"
"58237558","703","264","2675.65963","25","107.03"
"22562109","878","489","2672.90979","25","106.92"
"61373866","728","230","2671.21976","87","30.70"
"58341594","646","273","2670.44962","60","44.51"
"59531190","859","298","2664.30963","46","57.92"
"59427703","1048","313","2662.05978","127","20.96"
"22114791","781","330","2648.40958","100","26.48"
"58474854","653","278","2647.79949","61","43.41"
"21272846","667","364","2645.62964","11","240.51"
"59829841","858","288","2641.21969","23","114.84"
"40047305","717","390","2639.64956","38","69.46"
"58890296","685","262","2632.40934","23","114.45"
"21452032","689","256","2629.85929","17","154.70"
"62344524","729","221","2622.39962","72","36.42"
"22540295","791","318","2617.96988","88","29.75"
"59618289","747","262","2605.51972","58","44.92"
"58327318","687","387","2605.38960","35","74.44"
"22114425","969","397","2600.25959","171","15.21"
"62430433","717","225","2595.31969","33","78.65"
"59003863","825","172","2585.56962","119","21.73"
"20666033","700","308","2585.48941","52","49.72"
"59487318","699","310","2583.51979","31","83.34"
"20759298","697","316","2576.73964","50","51.53"
"59077043","842","425","2572.73969","104","24.74"
"22760738","694","167","2572.73952","66","38.98"
"59751318","738","342","2568.27979","51","50.36"
"60637096","692","313","2565.28978","26","98.66"
"22114125","911","327","2545.44984","110","23.14"
"60349370","751","261","2542.61947","43","59.13"
"58642186","767","277","2541.17958","31","81.97"
"59077582","681","286","2540.81964","40","63.52"
"51829265","666","250","2534.46967","21","120.69"
"59564896","807","299","2524.69944","35","72.13"
"21656683","697","337","2524.20972","35","72.12"
"58234395","848","313","2520.29971","38","66.32"
"60484821","674","381","2514.23962","51","49.30"
"61813890","627","289","2508.37952","12","209.03"
"23625408","628","404","2505.36957","26","96.36"
"22300853","700","353","2491.29994","65","38.33"
"59921275","732","288","2490.65952","38","65.54"
"58358415","676","325","2487.57993","19","130.93"
"21388456","812","227","2482.08926","46","53.96"
"20698259","734","350","2480.31958","34","72.95"
"60326154","660","270","2477.96968","38","65.21"
"34438715","654","222","2474.28981","71","34.85"
"59500430","571","308","2467.38939","64","38.55"
"60623136","849","229","2461.51971","41","60.04"
"33444987","740","353","2460.26976","61","40.33"
"21123450","933","375","2459.53976","44","55.90"
"64921775","639","366","2458.75934","32","76.84"
"58836509","840","236","2457.99921","40","61.45"
"59427920","1072","427","2454.54963","60","40.91"
"21476196","648","303","2453.77947","40","61.34"
"58501745","829","392","2450.03959","77","31.82"
"23743254","661","320","2444.96980","20","122.25"
"21569991","581","401","2441.55955","20","122.08"
"23278412","804","333","2439.26978","19","128.38"
"21619730","612","371","2434.87948","28","86.96"
"20688412","677","242","2433.82960","54","45.07"
"20718561","774","272","2428.66969","37","65.64"
"59503350","739","282","2427.10970","66","36.77"
"60641249","619","230","2426.99948","34","71.38"
"62319212","659","224","2424.04957","18","134.67"
"58896056","594","349","2413.92965","56","43.11"
"60298425","816","333","2413.90980","23","104.95"
"40035819","607","256","2411.08936","12","200.92"
"36791222","658","317","2409.63962","27","89.25"
"38981350","622","237","2401.79969","24","100.07"
"59035790","635","336","2400.44978","68","35.30"
"22242219","721","273","2386.71964","57","41.87"
"21635263","637","304","2366.08960","46","51.44"
"22981918","679","242","2362.53979","31","76.21"
"34920290","601","255","2356.36926","86","27.40"
"39630131","839","322","2348.75978","58","40.50"
